day,tx_count,sum_sent,sum_fees
2016-10-26,6650,362173.40028365,2.41518757
2016-10-27,2196,91980.14101901,0.08212216
2016-10-28,6835,339099.34057796,3.31760731
2016-10-29,3691,157989.61190753,0.57893158
2016-10-30,3340,157808.56705637,0.23589116
2016-10-31,5031,330757.85707389,0.90609948
2016-11-01,3929,212093.92384798,1.02506939
2016-11-02,3598,176868.63796972,0.57692494
2016-11-03,4745,268875.54900559,0.57849693
2016-11-04,3380,155986.44950505,0.11905072
2016-11-05,4534,213277.08077239,0.41689485
2016-11-06,4969,234274.58783332,0.87098587
2016-11-07,3573,145450.61704899,0.26372684
2016-11-08,4962,230836.43978344,0.42369716
2016-11-09,3060,132001.62394722,0.41413033
2016-11-10,9107,628938.35465538,10.22758768
2016-11-11,2849,161611.15307577,0.16954751
2016-11-12,8124,1196213.38956967,3.13999556
2016-11-13,2022,83553.60281988,0.03642901
2016-11-14,5635,348874.76682996,0.82798244
2016-11-15,3236,150001.30678041,0.60543463
2016-11-16,6952,417997.34625100,13.71275740
2016-11-17,5116,208389.77205406,9.59288856
2016-11-18,7091,497422.23968723,4.06067355
2016-11-19,3720,638550.75681940,2.84245283
2016-11-20,6567,363169.96764321,2.81107997
2016-11-21,2334,108405.76162915,0.08282863
2016-11-22,3102,162381.96067479,0.26502944
2016-11-23,4252,277651.23523301,0.15285476
2016-11-24,4734,239685.06233604,0.81731905
2016-11-25,3024,174895.72666177,0.29373506
2016-11-26,9025,508771.64109753,121.24837482
2016-11-27,2287,75867.15973787,0.10729140
2016-11-28,10442,1120576.20425480,26.29758592
2016-11-29,3020,167480.26362991,0.16604217
2016-11-30,5048,354579.71860927,0.83359897
2016-12-01,5130,438112.80015685,2.05533678
2016-12-02,4261,226553.08684480,0.44545415
2016-12-03,5692,262251.36992011,2.11273154
2016-12-04,3452,157570.23014932,0.53157682
2016-12-05,2737,143500.92126305,0.08101797
2016-12-06,4074,207825.10917868,0.56838285
2016-12-07,3635,184880.86447726,0.23889094
2016-12-08,4527,301212.16482088,0.78033048
2016-12-09,5791,304692.77317654,13.90576625
2016-12-10,6143,485517.38178405,27.32526516
2016-12-11,7154,442805.56561748,11.21389466
2016-12-12,5633,429389.56522197,4.30690722
2016-12-13,5297,324726.85929181,4.39573678
2016-12-14,7318,512297.27587791,6.61681277
2016-12-15,4851,228259.70791678,0.56225295
2016-12-16,4596,213035.08544065,2.64348032
2016-12-17,4802,251816.88379282,12.02636481
2016-12-18,9394,957863.25691720,30.62859787
2016-12-19,4735,244513.91588459,1.40431868
2016-12-20,4443,252343.64495612,0.78005958
2016-12-21,3302,170368.68138381,0.58745332
2016-12-22,3685,193009.34840787,1.10531057
2016-12-23,5449,308619.21722041,2.35038420
2016-12-24,3605,217046.39562223,0.25012099
2016-12-25,4227,228838.37708641,0.84775510
2016-12-26,3557,192576.77819212,1.42769946
2016-12-27,7167,659471.08579493,25.34832295
2016-12-28,4580,277062.07862752,2.94409909
2016-12-29,6080,450175.88222676,12.03784731
2016-12-30,3560,162974.21693834,0.70376047
2016-12-31,4627,264536.03269643,0.53000485
2017-01-01,5491,292724.18705375,12.75400916
2017-01-02,7186,332131.52679948,13.39253748
2017-01-03,4632,267182.92505049,3.13114684
2017-01-04,7854,561712.81845656,12.41883508
2017-01-05,4453,332400.52261473,0.32274787
2017-01-06,5667,331422.52964383,2.91890216
2017-01-07,2778,153164.17453818,0.34946914
2017-01-08,4327,1225957.95724074,0.20489204
2017-01-09,9491,902912.00632589,14.02474629
2017-01-10,2474,246618.63102924,0.05761940
2017-01-11,8484,645609.39056143,8.10249955
2017-01-12,2063,625119.18648400,0.04186610
2017-01-13,5889,2512632.05800484,0.51078535
2017-01-14,2919,168851.35818495,0.08947958
2017-01-15,9582,658097.52714953,35.20682128
2017-01-16,2494,1037518.28315869,0.04092468
2017-01-17,8702,671634.57309485,6.79727470
2017-01-18,2536,1138711.42426892,0.02592168
2017-01-19,5631,2334031.72876833,0.29248363
2017-01-20,2570,498440.64987010,0.05870516
2017-01-21,8822,683206.78297807,21.45733977
2017-01-22,2660,101111.65543738,0.08142863
2017-01-23,7053,742143.47316131,1.96361399
2017-01-24,2792,96346.02742986,0.06030318
2017-01-25,7296,625967.94226440,2.28783830
2017-01-26,2558,1300653.34492819,0.20039189
2017-01-27,8626,607315.03589902,19.01786766
2017-01-28,2498,135522.52526855,0.12290622
2017-01-29,4250,3175084.63377866,0.37472647
2017-01-30,7512,672606.11634544,4.42438382
2017-01-31,2640,1060414.75494306,0.10201478
2017-02-01,8053,6706833.41516458,26.52515014
2017-02-02,2965,1134694.61439925,0.11252924
2017-02-03,8594,541501.36023362,20.56758798
2017-02-04,3510,1518423.01075537,0.23051213
2017-02-05,7579,806408.53938137,14.44549661
2017-02-06,2404,320820.45648287,0.06246409
2017-02-07,8371,1019965.34062123,1.65708379
2017-02-08,3229,533585.13589745,0.01621810
2017-02-09,7551,1285814.30446408,10.62880743
2017-02-10,2945,328699.76547007,0.04601613
2017-02-11,8368,474671.56345232,10.77588279
2017-02-12,3407,128419.67226039,0.00400005
2017-02-13,7996,829285.23600638,8.87634229
2017-02-14,2864,548163.87717887,0.03608812
2017-02-15,6923,1640014.84714360,1.69851266
2017-02-16,3151,247870.65907632,0.02658507
2017-02-17,5355,384118.99281947,0.57234869
2017-02-18,4840,303077.35610234,0.12537245
2017-02-19,3545,180182.80266110,0.10987192
2017-02-20,4902,343743.46846355,0.36074875
2017-02-21,4971,280835.92810453,0.16810376
2017-02-22,3905,206831.50916484,0.11841104
2017-02-23,5054,645080.67851925,0.22196187
2017-02-24,5089,981211.86445854,0.48321516
2017-02-25,5015,305934.51151426,0.36684868
2017-02-26,4106,192678.53673857,0.28200027
2017-02-27,5414,304454.23120248,0.95583651
2017-02-28,3685,215379.90681305,0.40277298
2017-03-01,5646,984580.42443403,0.76571656
2017-03-02,4325,507884.12727292,0.10718767
2017-03-03,5241,515725.89468667,0.12635675
2017-03-04,4356,402929.40329153,0.18437317
2017-03-05,5915,475881.47150791,0.16333792
2017-03-06,4725,622851.27241800,4.42341700
2017-03-07,3832,881414.46261298,0.61386516
2017-03-08,5440,369294.64405150,0.26203950
2017-03-09,4459,286580.08248828,0.37689115
2017-03-10,5800,1055818.63181116,0.05270304
2017-03-11,5825,544520.27582687,0.24316302
2017-03-12,5356,632544.40704343,1.00384577
2017-03-13,4988,3230933.82028066,0.04467202
2017-03-14,4741,945483.72983539,0.03914884
2017-03-15,5407,1672307.45726963,0.29335071
2017-03-16,5982,1608392.56030787,0.19946814
2017-03-17,5299,333030.67687374,0.02370408
2017-03-18,5377,703341.48343603,0.25463309
2017-03-19,5522,514149.37100259,0.12031941
2017-03-20,7114,421944.40878684,0.22422903
2017-03-21,7278,535456.26541840,0.43615586
2017-03-22,3074,195843.80837438,0.01312012
2017-03-23,5381,387478.14813872,0.08321147
2017-03-24,6235,451727.81491317,0.10624529
2017-03-25,6187,483630.36375846,0.41060886
2017-03-26,7604,699054.78287243,0.10662280
2017-03-27,5112,305927.21383488,0.12617351
2017-03-28,4364,346353.74003754,0.05329504
2017-03-29,6287,428562.06054089,0.28788146
2017-03-30,3718,216578.31042524,0.00760206
2017-03-31,7789,498789.52079432,2.48316850
2017-04-01,3948,204841.71280831,0.11328621
2017-04-02,4885,314422.49608111,0.13497808
2017-04-03,4959,353128.01108023,0.45960705
2017-04-04,6062,413269.15935516,0.00202413
2017-04-05,4878,388323.18622765,0.00000004
2017-04-06,5652,367252.42828721,0.23656668
2017-04-07,4342,307002.19127065,0.02009909
2017-04-08,6529,383372.37785444,3.34314186
2017-04-09,7300,470917.66875493,8.26510176
2017-04-10,4369,220055.62849694,1.41994158
2017-04-11,5022,307088.38704911,1.55801623
2017-04-12,6784,328885.88909073,6.45756629
2017-04-13,6166,366665.21119464,4.52962408
2017-04-14,6063,377798.65325562,1.85517518
2017-04-15,5881,384980.84469915,3.20124886
2017-04-16,5317,314788.15540837,4.97531277
2017-04-17,6085,360516.41599170,3.07335399
2017-04-18,6168,308554.19946910,1.50046480
2017-04-19,6033,396344.81094864,5.34397543
2017-04-20,6051,387825.95420241,2.34922795
2017-04-21,7182,446717.94937137,0.84080705
2017-04-22,3961,206042.22172028,0.43184832
2017-04-23,2310,111756.82360591,0.02594803
2017-04-24,8219,526917.54468908,3.95786575
2017-04-25,8300,422604.12319042,0.74578460
2017-04-26,5596,340332.31624241,0.05790209
2017-04-27,3645,181389.25450870,0.61906651
2017-04-28,8534,755274.77704149,2.78065660
2017-04-29,6214,359283.67911096,1.86166950
2017-04-30,7004,437530.90028382,7.81879580
2017-05-01,5644,365409.05588305,1.17996214
2017-05-02,7183,470540.80223616,2.52486416
2017-05-03,6063,446003.03584584,0.44834203
2017-05-04,6441,401790.37786885,0.06797777
2017-05-05,4974,452844.14164188,0.31017509
2017-05-06,6969,1378461.53987709,0.38618646
2017-05-07,6496,1582274.25137514,0.45990195
2017-05-08,6061,1309311.45360568,0.71119376
2017-05-09,4876,1272433.30826897,0.96087162
2017-05-10,6702,1132056.61438248,4.14054766
2017-05-11,5750,819575.04241671,0.07934999
2017-05-12,6428,869191.80738893,2.12136253
2017-05-13,6451,1036639.18240309,3.76551408
2017-05-14,6128,993742.93168153,4.62313184
2017-05-15,5676,872162.46328538,0.79752736
2017-05-16,5781,742084.38270800,0.41001992
2017-05-17,5081,676164.58307676,0.10627979
2017-05-18,6060,752513.95393980,0.24751160
