day,circulation_coins,staked_coins
359,455587582594803,152486548728406
360,456355919519726,153040228948087
361,457196620587166,151678856175348
362,458052091082608,152122267957992
363,458720100201636,149669821347129
364,459333319929199,152293382153773
365,460121971073675,150835795762126
366,460974367567835,152753388953892
367,461656074034718,151961023969354
368,462436822863108,153403254201864
369,463202820701494,151763632539227
370,463987784098467,152408944909007
371,464766425642575,150356326396944
372,465441283435535,153290116073218
373,466165662409245,151536342979536
374,466987503281242,157711391414906
375,467747179266757,157471414698052
376,468500006578352,161319732445524
377,469189088540253,161027664011108
378,469971417831854,162539628677372
379,470818019294218,164194276878319
380,471428604916422,165448047674250
381,472165100774781,166571193065144
382,473018024089986,168954979047900
383,473665562819931,169769730652412
384,474424498126314,171432170849784
385,475219424179177,173626726266482
386,475833353289567,174167275243425
387,476588115755806,174539597730981
388,477328273281442,176085686959202
389,478043393766043,177310915793509
390,478883177850798,179671629554123
391,479638983527090,181667356702858
392,480258128687636,184487557999409
393,481011847943830,183963067941452
394,481852153633607,185968988545811
395,482486425339857,187306269226689
396,483273005712424,188628362623409
397,484042894724295,189297900920956
398,484843558432422,190797984798774
399,485533641875996,191683079199942
400,486259716066054,192148260911827
401,487033777918083,192686829108504
402,487868345952628,194659749168259
403,488567296681560,195147409081936
404,489270613915869,197673747544777
405,489968325186997,197220403477926
406,490832846776825,198907365791947
407,491584267871933,201634102533406
408,492246861181221,201423705624581
409,492976075329873,203007484930884
410,493817357092025,202530615007110
411,494501640907157,205552974766265
412,495447243673585,205520309035113
413,496096409526889,204243572300432
414,496778111138945,207765578397492
415,497431408517165,204550310115472
416,498240670961173,205521618249190
417,498994157818745,205354079439287
418,499775532469521,202949589286901
419,500524371361553,201760087075305
420,501238092291745,201025166151499
421,501999325758537,201162688817134
422,502733704313345,204638898817119
423,503451040327849,200604986797501
424,504192132610653,207881575944239
425,504949234552529,202692094987175
426,505806988724678,204725830936088
427,506431319408761,200212620613852
428,507138996449517,202683205524290
429,507976550635038,198236558064508
430,508661217945427,200308797844903
431,509350487201887,195473059335832
432,510114410250229,198169420527100
433,510787828359084,194587395523403
434,511570159191713,199924638618113
435,512327946311945,195267316486888
436,513042781935486,198988763095631
437,513845054534433,195773800211646
438,514602330327327,199695591511379
439,515267567198731,196820867465875
440,515636234212019,203080068531095
441,516352092490242,198450744401445
442,517435595127067,200638218680113
443,518095207397721,197002381739741
444,518712379499015,201558761363523
445,519447668216219,196810135632069
446,520274995854911,199920720007665
447,521013542385371,195146529072852
448,521695480928968,197890765288289
449,522441715088792,193524555455843
450,523174280101864,197217453938655
451,523914439085362,193660651170392
452,524580683423437,201927073938281
453,525349699494518,197448780823330
454,526086820889827,203727125889676
455,526789516285910,199102914430577
456,527458291947457,204799745481979
457,528159468549466,199849345112381
458,528936584855657,204495698766969
459,529688894191806,199876806656028
460,530411333910976,203719001158503
461,531095803778059,198747825973084
462,531817737232541,202425733116910
463,532464743512229,199047098391217
464,533243884877188,207881350710061
465,534057958506076,203517784988461
466,534659907227942,203914067337074
467,535378296829554,205609977239543
468,536074022314372,205262767170755
469,536766752817978,204451934749945
470,537500585999810,204142576376291
471,538146198799128,204353172217886
472,538878528224441,202677106517406
473,539640431527991,202706860420256
474,540374264709819,202356358523317
475,541111606656870,201643787689280
476,541791304603976,201157198639278
477,542499072672782,200622534263617
478,543205838237254,202927276316697
479,543939671419094,204178990141275
480,544765735000830,204863477483884
481,545349693782829,204461089434032
482,546034905503850,204876957144470
483,546841921503008,205605329869820
484,547496055589281,205363780058934
