day,staked_coins
579,255857251722949
580,257429110073870
581,257720823130850
582,257624343897577
583,258557220213134
584,259522588273528
585,260489065373375
586,260326005113915
587,259983367041985
588,260492506563179
589,260750620220854
590,263215289644826
591,264535751900662
592,264311394942328
593,263917593317728
594,263327351197428
595,263454552334054
596,263622563885204
597,263712062209565
598,263470875204162
599,264316263942866
600,264699244243734
601,265136153603346
602,264856381044330
603,265884883106393
604,267357767766071
605,267507232854678
606,267278665821869
607,267733296942269
608,266949048998735
609,266284858668793
610,265118007471895
611,264975126989635
612,265108414542824
613,268418974053408
614,270988891650870
615,271275274317839
616,270555056574777
617,270486987813539
618,269979247644872
619,269456631983748
620,270500902415353
621,270425943838644
622,273924808013535
623,275327419087193
624,278228558147622
625,293667068419658
626,290973456025445
627,283728307106961
628,281302076050438
629,280973611942204
630,277584656469141
631,287214992650250
632,290725489196638
633,290440446111557
634,295598785072662
635,297212777335836
636,298114760500153
637,298138264709931
638,299157013170586
639,300558268608985
640,304151232768676
641,304135244223783
642,304347962180347
643,305617694964208
644,306399113588599
645,307213559640540
646,307329429773939
647,307146655645830
648,306789819083049
649,306887092646459
650,307733451387189
651,308711820041552
652,308553127168493
653,309161263126765
654,307634349476466
655,306043670284323
656,303539197473152
657,301319194414308
658,299598119148294
659,309430988870239
660,313359135586134
661,314201828345786
662,313581447393371
663,310942644551321
664,308692817816180
665,305260115729315
666,303593286035744
667,309847063900286
668,312408015941847
669,313193574535815
670,312840413763088
671,313640311685853
672,313310405045782
673,312667079077864
674,313345568834732
675,311099738863735
676,310152609632281
677,315341388785054
678,320504401273925
679,321307057483606
680,320759402299221
681,319610926538786
682,318552958208728
683,317837850278860
684,317192473266272
685,316965824252500
686,316065224510118
687,318349856450749
688,317993241965091
689,317167485187645
690,318043481295935
691,318081275820329
692,318689105678681
693,322660375556937
694,323764855565334
695,324449200746436
696,324329172614294
697,325740421251297
698,324777015082396
699,323243907620167
700,323689250257325
701,324835818752201
702,327882470924368
703,327158140923747
704,327077357428512
705,329002511055913
706,331157412058455
707,331360085598777
708,332523837977493
709,333279166575770
710,332421555305222
711,332598485381002
712,332777428419876
713,331286066695870
714,329794751643344
715,331391788949829
716,331045349061599
717,332102495201271
718,331813633311894
719,332367092052571
720,331713436809128
721,331120214485385
722,331460655006166
723,331043808959952
724,331412220757646
725,331285652759705
726,333331512019873
727,333491615512353
728,332535297895727
729,332643950948392
730,332952072234190
731,332195613996930
732,331525111722779
733,332037909324436
734,333378280325550
735,332480714984246
736,333022927679971
737,333345669399743
738,333470513685453
739,332915769420522
740,333683661038963
741,334094246095949
742,334940708000436
743,335144608356057
744,334912792281200
745,334366011379644
746,333806711278498
747,333620803087336
748,333617480751095
749,334847027685409
750,335897895750693
751,335687074528060
752,335330854951631
753,336644818615094
754,336907584541370
755,335635273016945
756,334539123356004
757,336185069288802
758,336783206528725
759,336267521990296
760,335162770212765
761,335742245605170
762,337519803505353
763,337761892753385
764,337972454882873
765,337817529015219
766,337756989785752
767,339198258644226
768,338894782409445
769,338421971766777
770,337481498325538
771,339335483180143
772,338492009963896
773,337786386532340
774,340117171776520
775,339756791149702
776,339260186553782
777,341951923314398
778,342387174046351
779,342523967203445
780,342730150610748
781,342558450384175
782,341359371008502
783,341120892000113
784,339953900482789
785,339833147399154
786,345412171451457
787,346870825998712
788,346225799242105
789,345799194379074
790,345340296433999
791,343421990374971
792,344869373099465
793,345799514191677
794,345662704584343
795,345653884616237
796,347379912188378
797,346399490450568
798,347761391033300
799,349131646979600
800,348666454546185
801,348715440605430
802,349110066504344
803,349849029693436
804,350352249446924
805,349653277174959
806,352552726996445
807,352481652090941
808,352599389030474
809,353495471805915
810,352533415706649
811,352565245134159
812,352974620613468
813,353139844400730
814,354035483699230
815,354420897545711
816,354459900906492
817,356084026042785
818,355823725300254
819,355851785638416
820,356146991720871
821,359430091848828
822,362991336811468
823,362115369108134
824,360802482510422
825,360304431251076
826,358755011888316
827,359601834795756
828,361532237158512
829,362486852464092
830,362213016779771
831,362415225301884
832,364015172459801
833,364299028900063
834,365400695527212
835,367524566369227
836,366770471614044
837,367410234145066
838,367486906774364
839,366355632586425
840,365557951987335
841,366985964794863
842,367740060236232
843,368197830905152
844,368138218493828
845,371059165919032
846,370337533503748
847,369476288592576
848,370326523651936
849,369598615236967
850,369428952239921
851,370627619874426
852,371721974527470
853,372736776072463
854,372208265452850
855,373267793700599
856,374134562727259
857,374000881192558
858,373695736520530
859,374384116432775
860,374858666382053
861,374605663647857
862,376838037619485
863,378940119096695
864,378702227736231
865,378530293231425
866,377602760061675
867,377331306575565
868,378908491974034
869,379752944444621
870,380081812412651
871,383343606449873
872,382910075197007
873,381700074945615
874,379360135495677
875,378545654125623
876,376909297565556
877,376086922704598
878,378334623088092
879,377314844875934
880,384978696789008
881,385474791732622
882,383948706687777
883,384044402247024
884,382593059579876
885,381021553323093
886,380624926619451
887,379279535630978
888,377957199496290
889,378980148030478
890,381594284446682
891,382226340483888
892,382791634777264
893,383804155111660
894,383024833144598
895,382596089369421
896,382149353950878
897,381090609544052
898,380825673544783
899,381794529839775
900,381032529700442
901,381124405954172
902,380266990667487
903,381565137346728
904,381876132081801
905,381429177376733
906,381279964657756
907,381846243751373
908,383790750670174
909,384408188920120
910,385253059743537
911,384477711712720
912,383958481141406
913,383150338118881
914,383247941718725
915,381997651459761
916,382401173942112
917,384732226167926
918,386089397300317
919,385276223791215
920,386415450369862
921,386788934082370
922,387513250674793
923,386651923565111
924,385879332385943
925,386993766895775
926,386786157792811
927,387305703183309
928,386531232521724
929,386210350702092
930,385688414610900
931,385220167204521
932,387018520789425
933,386502227339801
934,386288516117316
935,387353445473221
936,388666119520727
937,387634722252144
938,387863048782335
939,389563703876108
940,389148586003971
941,390859425882580
942,390860175369992
943,389311404190932
944,387726777717426
945,387220847118507
946,389840440161840
947,390832903539713
948,390875025320373
949,392898406304377
950,392734788023665
951,392487317564811
952,391492114460258
953,392548889940045
954,393767934069398
955,393551919181484
956,393224355382105
957,392487716831173
958,394899015209233
959,394798254381502
960,394548358331440
961,395769382445111
962,394895732729061
963,394876233318938
964,395836906448839
965,394819226063120
966,394380633080160
967,395170897814623
968,395886667485309
969,396967600279892
970,399289119528216
971,398958276360339
972,397666260879854
973,396801298876958
974,396590520392182
975,397201366184820
976,397782622583280
977,398807176652546
978,398362052156794
979,399147981612964
980,399644030320761
981,400567858467049
982,400629564682113
983,401487619854398
984,400853611521224
985,401812223474636
986,403710041586723
987,402197730289451
988,401951426296615
989,401633197122896
990,402339752099013
991,403545831595709
992,404583294666799
993,404962068749646
994,403926922294145
995,404364133575129
996,405833972017574
997,405924289189525
998,405935141590464
999,405491663608392
1000,404352403365818
1001,403161361556093
1002,404391508434546
1003,403957776589747
1004,411255878526585
1005,411829978398256
1006,412095172840511
1007,412572079894574
1008,410421751083063
1009,408990498425624
1010,409104312191273
1011,410300178338396
1012,410060405731545
1013,410505228218952
1014,410855950748884
1015,411087292590151
1016,413306629634382
1017,414309541519764
1018,417626990379764
1019,417588423173913
1020,416703780982826
1021,416217382360917
1022,414323952342840
1023,415140054737215
1024,416590211048176
1025,416178654186839
1026,415366514004497
1027,415782907718015
1028,417363531685419
1029,416869303207187
1030,417500901167689
1031,419940120433050
1032,419379125563587
1033,418249011436163
1034,417830228244200
1035,416321955231026
1036,416451178527257
1037,417935467798943
1038,419263687917076
1039,418825943449061
1040,419003470284361
1041,418768649056395
1042,418333585535592
1043,418065828350031
1044,418721836345758
1045,419447289401770
1046,421238293789901
1047,421932878682422
1048,422270693394399
1049,420989584096971
1050,419607652800833
1051,420034887503381
1052,420553152501034
1053,420615877132918
1054,420525747736062
1055,421600102548837
1056,421437159675693
1057,420724632435190
1058,420881343436369
1059,421045831999999
1060,423487523353172
1061,425003665592090
1062,425281900305938
1063,424663176679573
1064,424863825171452
1065,424771596571645
1066,424936402197058
1067,425012917000552
1068,427186612962575
1069,427618446617482
1070,427376536134245
1071,426728974359471
1072,426146208188112
1073,427583922526951
1074,429005218029867
1075,431765294152405
1076,433292984279124
1077,433019473600270
1078,431385105190222
1079,432417486466153
1080,433223023384656
1081,434930474843725
1082,434523107899886
1083,434383908800610
1084,435184543240773
1085,436579073313273
1086,436961293952330
1087,437786180488622
1088,436834821403326
1089,438061728342861
1090,439219168394496
1091,437785937506662
1092,437832403068459
1093,439677526342840
1094,441538148536323
1095,440914610023672
1096,440023212052984
1097,440373361696547
1098,440924818978269
1099,441491416283877
1100,443082890601434
1101,449222145027399
1102,448775385111923
1103,446357130947346
1104,444043497120237
1105,440633695290721
1106,438336865814324
1107,436906167018178
1108,436563956839758
1109,453603525990813
1110,455424046123987
1111,453995744794630
1112,451329172154164
1113,450487188373455
1114,450476804254745
1115,448026519743821
1116,445333117963994
1117,451460281821089
1118,450979366361217
1119,450532345202733
1120,449998241248511
1121,451092666307185
1122,451749550121747
1123,451436887392055
1124,455360726152106
1125,455870695573487
1126,456087574005164
1127,455380107367853
1128,457718404289984
1129,455317952946092
1130,453818923425083
1131,450920094500908
1132,449661787812835
1133,455941631378937
1134,454995064145169
1135,455148125552327
1136,456648439271895
1137,459128770879999
1138,459036832428776
1139,458413589700498
1140,455028796749297
1141,451036208267318
1142,449659756790846
1143,458877184997836
1144,459606221031952
1145,460144701187607
1146,461084730968628
1147,459537333084431
1148,459140708333337
1149,461679041217619
1150,462142937358235
1151,461865235058786
1152,460634100128721
1153,458034021672425
1154,453374202083262
1155,452596632734390
1156,464764383016408
1157,467648623816577
1158,467127020644739
1159,465112964809399
1160,461804063408755
1161,459930421407964
1162,457579036805852
1163,454933076849391
1164,469484148381360
1165,470837798870460
1166,469854167052342
1167,471216853767116
1168,470296977926266
1169,468809482993136
1170,468249350764531
1171,468081005735684
1172,467622583130655
1173,467152166970144
1174,467627356240516
1175,471508493061540
1176,474938443755442
1177,475223424704885
1178,475261304752957
1179,475291261791212
1180,475645245849887
1181,475693823875723
1182,475618574660298
1183,476741700259799
1184,477378358418558
1185,478085459182484
1186,477193038068062
1187,475039622076939
1188,475271817515301
1189,473425321977652
1190,471932192624254
1191,472853012195177
1192,475247658264796
1193,476369502900019
1194,475069364922059
1195,474571704057544
1196,474271550147032
1197,473418706695437
1198,475230779612811
1199,475891450465368
1200,475162406625593
1201,474639445841650
1202,474517429487163
1203,472794029412726
1204,469496930280766
1205,471374749013411
1206,472809348928468
1207,476490071356851
1208,478113585835784
1209,482505648757803
1210,480564687819204
1211,478990047635926
1212,478282598106486
1213,477618901526254
1214,477187435663341
1215,477107957196591
1216,479048081081290
1217,479613671658269
1218,479536662324471
1219,480914481450930
1220,484442705880969
1221,484139466720317
1222,484373964763207
1223,483274688271144
1224,483055203920776
1225,483332943660655
1226,483936584933123
1227,485453080934025
1228,485871740043905
1229,486148425428786
1230,485680763431120
1231,484041146940232
1232,483219733776037
1233,484360387333489
1234,485140947173591
1235,486322355992823
1236,486178659994770
1237,485861145341854
1238,484448534666310
1239,486624356416257
1240,488340656693024
1241,490675849905898
1242,492920027240286
1243,491436513276761
1244,490864146058337
1245,489597600881938
1246,488608644359542
1247,490342669652228
1248,494018304555669
1249,495489124173601
1250,495801133781506
1251,495912711263945
1252,494176325868432
1253,494103860871976
1254,496931574597546
1255,500601279771642
1256,501135999333501
1257,501131205616060
1258,502748473623384
1259,502233832768611
1260,500577316875697
1261,501136899450837
1262,502984802785536
1263,503614606507590
1264,503828551484039
1265,504983167284081
1266,503031058199036
1267,501553540550999
1268,502237694898552
1269,503422751254667
1270,504387139351810
1271,506717205598358
1272,508258918802352
1273,507237348205242
1274,505853132861427
1275,507170039882028
1276,507859366364682
1277,509074039107581
1278,508228433068771
1279,509780976804968
1280,506994888795739
1281,506052384129711
1282,506586925819008
1283,510890879290347
1284,514209212458506
1285,514545339179157
1286,516347148522786
1287,516321899958985
1288,513507574445828
1289,512321945362021
1290,513565879712438
1291,516134636572649
1292,515088941919130
1293,515900964664353
1294,515972553924681
1295,516985290945627
1296,519417683880011
1297,521106282443019
1298,521473301180645
1299,520746102999818
1300,523709083366783
1301,523401751722416
1302,521404763926994
1303,520424219971926
1304,521136204595770
1305,521595020991673
1306,524763773834872
1307,525994426135495
1308,525171862197849
1309,524834994527762
1310,526612197920282
1311,526933080495288
1312,527111702072542
1313,527896033894834
1314,529747776024786
1315,526700288900481
1316,523358601883481
1317,525397012227019
1318,527361712779368
1319,526853795164446
1320,527828522110247
1321,531943887791202
1322,530090710417986
1323,527798609300082
1324,527376169200121
1325,526037963119088
1326,524441486174928
1327,526126589453089
