day,netfund_reward
2016-11-25,669.36699852
2016-11-26,694.03654392
2016-11-27,789.97366492
2016-11-28,724.73642264
2016-11-29,807.51645276
2016-11-30,808.61287700
2016-12-01,712.12754388
2016-12-02,757.42289235
2016-12-03,836.43057232
2016-12-04,701.82007137
2016-12-05,699.64893430
2016-12-06,811.46249548
2016-12-07,770.75367467
2016-12-08,728.95928527
2016-12-09,766.95418475
2016-12-10,757.72685197
2016-12-11,789.20834013
2016-12-12,762.61191054
2016-12-13,706.16234563
2016-12-14,785.95163449
2016-12-15,801.14959428
2016-12-16,793.00783006
2016-12-17,632.34368382
2016-12-18,760.44077342
2016-12-19,826.66045533
2016-12-20,795.17896720
2016-12-21,749.04230360
2016-12-22,715.38967832
2016-12-23,770.24850908
2016-12-24,766.34691086
2016-12-25,761.51021928
2016-12-26,693.25912694
2016-12-27,737.86417148
2016-12-28,803.42821302
2016-12-29,735.17712062
2016-12-30,799.66634176
2016-12-31,759.89798880
2017-01-01,757.21093788
2017-01-02,750.22460564
2017-01-03,755.59870738
2017-01-04,804.50303340
2017-01-05,761.51021934
2017-01-06,759.89798874
2017-01-07,695.94617774
2017-01-08,773.33324318
2017-01-09,721.20445612
2017-01-10,812.02677582
2017-01-11,802.35339264
2017-01-12,641.66775004
2017-01-13,759.89798876
2017-01-14,853.26901476
2017-01-15,768.33692297
2017-01-16,653.93772750
2017-01-17,801.85854781
2017-01-18,777.38244086
2017-01-19,711.93545916
2017-01-20,764.61229810
2017-01-21,771.52945877
2017-01-22,765.67647663
2017-01-23,659.79070960
2017-01-24,834.31599399
2017-01-25,729.49440541
2017-01-26,746.52126246
2017-01-27,778.97870861
2017-01-28,737.47574463
2017-01-29,820.48167257
2017-01-30,751.31006606
2017-01-31,767.80483377
2017-02-01,755.56678023
2017-02-02,768.33692303
2017-02-03,840.70106540
2017-02-04,855.46259267
2017-02-05,668.00911920
2017-02-06,613.21972773
2017-02-07,788.65114473
2017-02-08,852.39649442
2017-02-09,681.70646701
2017-02-10,780.74882860
2017-02-11,765.99783862
2017-02-12,784.96339723
2017-02-13,778.64154434
2017-02-14,674.85779313
2017-02-15,724.37897391
2017-02-16,821.84087225
2017-02-17,759.67598569
2017-02-18,752.82731184
2017-02-19,689.08196209
2017-02-20,782.32929178
2017-02-21,846.60146259
2017-02-22,610.58562237
2017-02-23,736.49585855
2017-02-24,852.92331532
2017-02-25,647.53090603
