Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,73.039902,81.281898,72.488899,81.281898,81.281898,888925
2018-02-15,81.323196,90.233200,80.663597,87.522797,87.522797,1264440
2018-02-16,87.120102,90.690201,83.612701,90.415298,90.415298,992508
2018-02-17,90.006699,98.059303,88.956902,96.256599,96.256599,1790480
2018-02-18,96.904701,97.230202,84.938797,84.938797,84.938797,1290070
2018-02-19,84.566902,93.311096,84.458702,88.207100,88.207100,1142280
2018-02-20,88.287003,90.764000,77.518997,80.923401,80.923401,1869820
2018-02-21,80.492897,82.993896,74.287300,75.549103,75.549103,1335400
2018-02-22,74.761398,78.868698,70.776901,72.358398,72.358398,809800
2018-02-23,72.338600,78.749901,70.038597,76.100800,76.100800,723820
2018-02-24,76.004303,78.280197,69.327103,71.844704,71.844704,744244
2018-02-25,71.736397,82.908501,69.467102,72.040398,72.040398,2970440
2018-02-26,72.079002,76.683899,70.217201,75.541298,75.541298,904745
2018-02-27,75.435997,79.228897,74.634399,77.909798,77.909798,699347
2018-02-28,77.817299,81.177803,72.860001,74.413597,74.413597,2436670
2018-03-01,74.570999,80.786301,73.810997,79.543297,79.543297,1298860
2018-03-02,78.896202,83.751602,77.605598,80.650299,80.650299,1502120
2018-03-03,80.610001,83.024300,79.601501,80.677299,80.677299,1137500
2018-03-04,80.255997,82.204102,77.888802,80.634598,80.634598,1230430
2018-03-05,80.788597,83.637802,79.240898,82.384201,82.384201,1433830
2018-03-06,81.802696,81.802696,71.184196,72.898300,72.898300,907286
2018-03-07,72.813004,76.074402,59.951698,66.778198,66.778198,1668380
2018-03-08,66.443497,68.226402,58.474800,58.668900,58.668900,976633
2018-03-09,58.397800,61.641800,52.217300,61.120098,61.120098,1061970
2018-03-10,61.414902,65.313904,60.371899,60.900200,60.900200,616342
2018-03-11,60.692402,65.362000,58.330898,63.613998,63.613998,770623
2018-03-12,63.485401,66.136703,56.745499,59.775299,59.775299,554842
2018-03-13,59.984200,62.231098,57.888500,59.587200,59.587200,503090
2018-03-14,59.585999,61.570000,51.095402,52.178902,52.178902,529811
2018-03-15,52.308800,56.112999,46.349998,54.827900,54.827900,1949070
2018-03-16,55.907799,56.195599,53.765598,54.252998,54.252998,613356
2018-03-17,54.352501,54.823502,48.162300,48.483002,48.483002,434109
2018-03-18,48.414600,51.817001,44.223701,50.703400,50.703400,705667
2018-03-19,50.190399,53.644600,49.243301,52.370602,52.370602,514038
2018-03-20,52.954800,54.502998,50.217999,52.564701,52.564701,465414
2018-03-21,52.639900,54.636002,51.296600,51.804001,51.804001,453314
2018-03-22,51.906799,54.083099,49.376301,50.670200,50.670200,418405
