day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2016-04-24,5,42849,474421.82386880,6792.08739342
2016-04-25,5,43759,489194.33712190,7003.57893109
2016-04-26,5,42840,480798.15897594,6883.37456260
2016-04-27,5,43157,525800.25995357,7527.64973576
2016-04-28,5,43696,534558.50871630,7653.03770912
2016-04-29,5,42702,489304.71285176,7005.15913159
2016-04-30,5,42605,548171.34196334,7847.92662112
2016-05-01,5,42884,574505.10500520,8224.93545794
2016-05-02,5,42340,592832.19522712,8487.31630172
2016-05-03,5,42317,610703.61787135,8743.17355435
2016-05-04,5,42492,581212.79112096,8320.96643294
2016-05-05,5,42770,594270.18846849,8507.90341487
2016-05-06,5,42258,579928.76883995,8302.58365392
2016-05-07,5,42275,548507.48744032,7852.73906722
2016-05-08,5,42284,619500.78280449,8869.11867331
2016-05-09,5,43039,610038.66307796,8733.65369072
2016-05-10,5,42057,579092.37912794,8290.60943239
2016-05-11,5,43176,505541.59930766,7237.61545265
2016-05-12,5,42513,501980.85863762,7186.63790356
2016-05-13,5,42683,592201.19269974,8478.28251766
2016-05-14,5,42082,573462.01071965,8210.00193846
2016-05-15,5,43345,651061.20812369,9320.95532195
2016-05-16,5,42445,653331.52317509,9353.45841828
2016-05-17,5,42440,616889.70933928,8831.73708950
2016-05-18,5,42530,665270.72535004,9524.38669455
2016-05-19,5,43067,685650.99042119,9816.16193443
2016-05-20,5,42667,698429.93259651,9999.11239683
2016-05-21,5,42437,656082.56736672,9392.84390105
2016-05-22,5,43384,675303.87773177,9668.02689907
2016-05-23,5,42652,721677.59932876,10331.93895791
2016-05-24,5,42771,698634.46256845,10002.04056197
2016-05-25,5,43283,702621.43606298,10059.12029786
2016-05-26,5,43050,647671.76988296,9272.43023397
2016-05-27,5,43365,649602.74233923,9300.07511246
2016-05-28,5,42478,778250.62455289,11141.86993515
2016-05-29,5,42710,810918.25198453,11609.55790668
2016-05-30,5,42101,695540.52284737,9957.74599557
2016-05-31,5,43315,666400.29905720,9540.55830165
2016-06-01,5,42425,821345.14565680,11758.83513108
2016-06-02,5,42850,801664.35871344,11477.07401014
2016-06-03,5,43232,720256.43570051,10311.59278689
2016-06-04,5,42444,876408.80196873,12547.15714127
2016-06-05,5,42300,929039.58859414,13300.64883234
2016-06-06,5,42739,770548.94223690,11031.60835625
2016-06-07,5,42215,742687.32647854,10632.72592793
2016-06-08,5,41979,783136.27069281,11211.81556979
2016-06-09,5,41879,771305.01373643,11042.43269746
2016-06-10,5,41793,698684.98162305,10002.76382092
2016-06-11,5,42298,773860.22475905,11079.01452338
2016-06-12,5,42515,825546.66507097,11818.98642601
2016-06-13,5,41829,820348.86878182,11744.57187576
2016-06-14,5,43258,827341.80170242,11844.68660309
2016-06-15,5,42337,805439.50815704,11531.12115480
2016-06-16,5,42125,636557.69168619,9113.31489270
2016-06-17,5,42957,556730.69675664,7970.46711750
2016-06-18,5,42203,754457.76129820,10801.23803663
2016-06-19,5,41948,806065.28570268,11540.08013511
2016-06-20,5,42639,782340.41275109,11200.42162368
2016-06-21,5,41834,726352.87886056,10398.87286687
2016-06-22,5,42332,720660.68546046,10317.38025189
2016-06-23,5,42245,747532.22360439,10702.08817696
2016-06-24,5,42495,814880.80236211,11666.28798761
2016-06-25,5,42028,735407.61800235,10528.50556183
2016-06-26,4,41817,700753.93749838,10032.38414700
2016-06-27,5,42225,768028.72313826,10995.52749422
2016-06-28,5,41872,747785.02663452,10705.70744611
2016-06-29,5,41763,769436.33846280,11015.67970017
2016-06-30,5,41604,853656.29972499,12221.41963114
2016-07-01,5,41793,749174.19914693,10725.59561448
2016-07-02,5,41780,722994.09975664,10350.78671219
2016-07-03,5,41735,830409.25353733,11888.60195413
2016-07-04,5,41834,834765.91274662,11950.97431687
2016-07-05,5,41415,844837.73589831,12095.16815370
2016-07-06,5,41269,832047.27175269,11912.05273635
2016-07-07,5,41448,864536.08732186,12377.18073753
2016-07-08,5,41275,948104.84374335,13573.59765686
2016-07-09,5,41143,840444.88315437,12032.27762413
2016-07-10,5,41419,818440.37636786,11717.24883409
2016-07-11,5,41578,915464.46974316,13106.29986066
2016-07-12,5,41823,873755.01005537,12509.16397635
2016-07-13,5,41513,776075.40280780,11110.72824763
2016-07-14,5,41673,654774.72018555,9374.12003148
2016-07-15,5,41390,759409.27614217,10872.12668437
2016-07-16,5,41177,767137.34782680,10982.76606819
2016-07-17,5,41158,804606.34572443,11519.19313680
2016-07-18,5,41243,831523.74623468,11904.55765308
2016-07-19,5,41079,799841.61512457,11450.97859647
2016-07-20,5,42069,784089.02871964,11225.45578501
2016-07-21,5,41529,804266.23603498,11514.32393682
2016-07-22,5,41562,758941.51992919,10865.43002557
2016-07-23,5,41566,729841.22045136,10448.81391037
2016-07-24,5,41485,821939.10198112,11767.33854104
2016-07-25,5,41230,850800.77049441,12180.53828228
2016-07-26,5,41439,673429.85291036,9641.19731467
2016-07-27,4,41253,579522.29698062,8296.76437612
2016-07-28,4,42176,634669.25098161,9086.27892248
2016-07-29,4,41611,659134.70271474,9436.53997273
2016-07-30,5,42341,690142.75424672,9880.46853020
2016-07-31,5,42038,795539.32699284,11389.38464039
2016-08-01,5,42168,773622.14354842,11075.60602001
2016-08-02,5,41993,705794.62267744,10104.54940697
2016-08-03,5,42795,714857.69305210,10234.30137651
