day,sum_pos_reward
2016-12-27,7378.64170799
2016-12-28,8034.28212208
2016-12-29,7351.77119925
2016-12-30,7996.66340976
2016-12-31,7598.97988006
2017-01-01,7572.10937123
2017-01-02,7502.24604850
2017-01-03,7555.98706601
2017-01-04,8045.03032563
2017-01-05,7615.10218534
2017-01-06,7598.97987997
2017-01-07,6959.46177116
2017-01-08,7733.33242388
2017-01-09,7212.04455376
2017-01-10,8120.26775012
2017-01-11,8023.53391853
2017-01-12,6416.67749412
2017-01-13,7598.97988000
2017-01-14,8532.76997348
2017-01-15,7683.36924917
2017-01-16,6539.37729045
2017-01-17,8018.58549766
2017-01-18,7773.82442741
2017-01-19,7119.35460906
2017-01-20,7646.12299945
2017-01-21,7715.29460627
2017-01-22,7656.76478508
2017-01-23,6597.90711160
2017-01-24,8343.15996039
2017-01-25,7294.94407246
2017-01-26,7465.21264311
2017-01-27,7789.78710581
2017-01-28,7374.75746493
2017-01-29,8204.81674667
2017-01-30,7513.10067866
2017-01-31,7678.04835642
2017-02-01,7555.66782123
2017-02-02,7683.36924923
2017-02-03,8407.01067440
2017-02-04,8554.70495442
2017-02-05,6680.09119028
2017-02-06,6132.19727563
2017-02-07,7886.51144476
2017-02-08,8523.96494160
2017-02-09,6817.06466883
2017-02-10,7807.48828390
2017-02-11,7659.97838386
2017-02-12,7849.63396973
2017-02-13,7786.41544108
2017-02-14,6748.57792960
2017-02-15,7243.78973710
2017-02-16,8218.40871997
2017-02-17,7596.75985515
2017-02-18,7528.27311595
2017-02-19,6890.81961901
2017-02-20,7823.29291601
2017-02-21,8466.01462364
2017-02-22,6105.85622204
2017-02-23,7364.95858359
2017-02-24,8529.23315205
2017-02-25,6475.38729945
2017-02-26,7589.35306383
2017-02-27,7949.26052863
2017-02-28,6139.29110390
2017-03-01,7547.62466239
2017-03-02,7401.57525636
2017-03-03,7151.20484601
2017-03-04,8397.84084755
2017-03-05,7558.05676292
2017-03-06,6191.45160546
2017-03-07,7537.19256194
2017-03-08,8403.05689777
2017-03-09,6342.71706250
2017-03-10,7865.80372567
2017-03-11,7698.89011871
2017-03-12,8006.63708127
2017-03-13,6900.83443574
2017-03-14,7260.74190058
2017-03-15,7740.61852029
2017-03-16,8345.68034545
2017-03-17,6989.50728932
2017-03-18,7033.17234309
2017-03-19,6977.11271128
2017-03-20,8645.21589828
2017-03-21,7514.21095108
2017-03-22,6625.93309288
2017-03-23,7292.14148652
2017-03-24,8412.81762152
2017-03-25,6842.83815132
2017-03-26,9456.02766428
2017-03-27,6491.65853304
2017-03-28,6817.01612056
2017-03-29,6532.97378220
2017-03-30,8092.62444008
2017-03-31,7534.86857572
2017-04-01,7813.74650776
2017-04-02,7488.38892032
2017-04-03,7137.20930192
2017-04-04,7612.33466792
2017-04-05,7343.78554808
2017-04-06,7173.36014504
2017-04-07,7410.92282804
2017-04-08,7571.01941876
2017-04-09,8577.54172149
2017-04-10,6243.30684083
2017-04-11,7076.77040756
2017-04-12,8375.54185521
2017-04-13,6846.67310389
2017-04-14,6892.69256460
2017-04-15,7639.23048342
2017-04-16,6734.18108855
2017-04-17,7823.30832629
2017-04-18,7577.87120232
2017-04-19,7148.35623541
2017-04-20,8022.72598947
2017-04-21,7572.75792894
2017-04-22,6652.36871404
2017-04-23,3686.67013288
2017-04-24,7158.58278223
2017-04-25,10835.02636825
2017-04-26,6596.12270654
2017-04-27,6171.72101294
2017-04-28,7352.88717204
2017-04-29,8273.27638692
2017-04-30,7385.46530460
2017-05-01,6819.38543597
2017-05-02,7462.34159824
2017-05-03,7325.65013072
2017-05-04,7401.58983498
2017-05-05,6662.44338075
2017-05-06,7690.16071081
2017-05-07,7371.21395309
2017-05-08,7026.95396083
2017-05-09,6687.75661547
2017-05-10,7011.76602009
2017-05-11,7771.16306191
2017-05-12,7523.09336149
2017-05-13,7224.39719170
2017-05-14,6844.69867083
2017-05-15,7219.33454482
2017-05-16,6470.06279688
2017-05-17,7791.41364959
2017-05-18,8140.73628888
2017-05-19,6019.48721866
2017-05-20,7183.89601612
2017-05-21,6957.25484818
2017-05-22,6927.30503606
2017-05-23,7338.33181832
2017-05-24,6456.12799318
2017-05-25,7323.29425313
2017-05-26,7619.03303550
2017-05-27,7338.33181828
2017-05-28,7373.41947051
2017-05-29,6796.97947106
2017-05-30,7077.68068806
2017-05-31,7067.65564472
2017-06-01,7338.33181840
2017-06-02,8260.63581736
2017-06-03,5839.58781999
2017-06-04,6852.11721021
2017-06-05,8070.15999158
2017-06-06,6541.34086273
2017-06-07,7132.81842731
2017-06-08,7288.20660084
2017-06-09,7263.14399237
2017-06-10,7142.84347063
2017-06-11,7704.45434628
2017-06-12,7091.97381682
2017-06-13,6402.13171708
2017-06-14,6685.01660688
2017-06-15,7280.56374337
2017-06-16,7866.18509429
2017-06-17,6779.31157018
2017-06-18,6779.31157019
2017-06-19,7235.89770815
2017-06-20,6774.34867737
2017-06-21,7667.66938205
2017-06-22,6109.32104160
2017-06-23,7786.77880940
2017-06-24,7459.22788434
2017-06-25,6650.27635729
2017-06-26,6987.75306795
2017-06-27,6967.90149679
2017-06-28,7196.19456574
2017-06-29,7618.04045409
2017-06-30,7786.77880938
2017-07-01,5935.61979353
2017-07-02,6625.46189324
2017-07-03,8217.15005679
2017-07-04,6800.63726026
2017-07-05,6864.51607855
2017-07-06,7405.02915554
2017-07-07,6869.42983376
2017-07-08,7120.03135122
2017-07-09,6628.65582655
2017-07-10,7134.77261655
2017-07-11,6820.29228097
2017-07-12,6839.94730199
2017-07-13,7577.01058886
2017-07-14,6156.93532309
2017-07-15,6903.82612046
2017-07-16,7493.47674991
2017-07-17,6952.96367285
2017-07-18,7183.91016940
2017-07-19,6751.49970787
2017-07-20,6618.82831618
2017-07-21,7473.82172903
2017-07-22,6889.08485473
2017-07-23,7321.49531640
2017-07-24,7210.83852291
2017-07-25,6781.95526314
2017-07-26,7141.97297434
2017-07-27,6835.47140941
2017-07-28,7015.48026500
2017-07-29,6295.44484254
2017-07-30,7429.01412253
2017-07-31,7030.07557763
2017-08-01,6528.96984442
2017-08-02,7555.50683187
2017-08-03,6743.03442950
2017-08-04,7015.48026502
2017-08-05,7390.09328887
2017-08-06,6115.43598691
2017-08-07,7234.40995427
2017-08-08,7049.53599445
2017-08-09,7555.50683185
2017-08-10,6728.43911687
2017-08-11,6806.28078417
2017-08-12,6699.24849163
2017-08-13,6869.52713882
2017-08-14,7399.84758035
2017-08-15,6782.24427156
2017-08-16,7032.72488304
2017-08-17,5934.46373760
2017-08-18,7182.04986426
2017-08-19,6960.47086106
2017-08-20,7413.26273718
2017-08-21,6170.49354530
2017-08-22,6555.84833346
2017-08-23,7726.36350248
2017-08-24,7225.40227780
2017-08-25,6088.60565284
2017-08-26,6295.73385146
2017-08-27,7784.16672068
2017-08-28,6849.68135944
2017-08-29,7673.37721914
2017-08-30,5924.82986784
2017-08-31,7196.50066880
2017-09-01,7557.77078266
2017-09-02,6223.47982872
2017-09-03,7292.83936592
2017-09-04,7184.79217882
2017-09-05,7153.86364793
2017-09-06,5780.32182756
2017-09-07,7673.71107303
2017-09-08,6347.86167692
2017-09-09,6390.78485881
2017-09-10,6982.17092040
2017-09-11,6858.17061712
2017-09-12,7311.24864817
2017-09-13,6529.09288928
2017-09-14,6614.93925309
2017-09-15,7587.86470924
2017-09-16,6438.47728312
2017-09-17,6581.55455605
2017-09-18,6467.09273772
2017-09-19,7025.09410224
2017-09-20,7440.01819386
2017-09-21,6648.32395009
2017-09-22,6076.01485832
2017-09-23,6896.32455661
2017-09-24,7769.09592164
2017-09-25,6486.16970745
2017-09-26,6873.44635518
2017-09-27,6233.06931184
2017-09-28,7002.75893145
2017-09-29,7323.85644143
2017-09-30,5789.19922450
2017-10-01,7569.40159615
2017-10-02,6511.66862203
2017-10-03,6450.28233332
2017-10-04,7026.36904248
2017-10-05,6412.50615568
2017-10-06,7149.14161982
2017-10-07,7125.53150881
2017-10-08,6247.23537847
2017-10-09,6313.34368937
2017-10-10,6804.43399877
2017-10-11,6643.88524379
2017-10-12,7286.08026379
2017-10-13,6488.05851098
2017-10-14,6577.77693287
2017-10-15,6398.34008905
2017-10-16,6870.54230969
2017-10-17,7385.54662092
2017-10-18,6596.80527577
2017-10-19,6147.97940301
2017-10-20,7083.03330459
2017-10-21,6839.91929018
2017-10-22,6493.94934656
2017-10-23,6797.84186458
2017-10-24,6475.24826855
2017-10-25,5946.94281411
2017-10-26,7026.93007048
2017-10-27,6727.71282197
2017-10-28,7036.28060949
2017-10-29,5675.77718259
2017-10-30,6035.77293466
2017-10-31,7372.90001407
2017-11-01,6666.93431837
2017-11-02,6550.05258068
2017-11-03,5708.50406925
2017-11-04,7349.52366653
2017-11-05,6470.57299903
2017-11-06,7036.28060950
2017-11-07,6428.14839995
2017-11-08,6202.83280869
2017-11-09,6975.87241990
2017-11-10,7110.11283145
2017-11-11,5545.51769016
2017-11-12,6188.94586957
2017-11-13,7123.99977055
2017-11-14,6554.63526648
2017-11-15,6471.31363173
2017-11-16,6985.13037933
2017-11-17,6827.74506925
2017-11-18,5485.34095393
2017-11-19,6688.87567802
2017-11-20,7267.49814152
2017-11-21,5962.12586387
2017-11-22,7063.82303434
2017-11-23,6411.13689552
2017-11-24,6716.64955625
2017-11-25,6374.10505787
2017-11-26,6804.60017069
2017-11-27,6448.16873323
2017-11-28,6568.52220560
2017-11-29,6474.22392528
2017-11-30,6508.07047223
2017-12-01,6879.30547812
2017-12-02,6223.91528261
2017-12-03,5944.34324123
2017-12-04,7058.04825863
2017-12-05,6489.73787926
2017-12-06,6095.58713238
2017-12-07,6402.65806318
2017-12-08,6301.82880234
2017-12-09,6443.90639712
2017-12-10,6668.48065984
2017-12-11,6535.56936157
2017-12-12,6741.81103154
2017-12-13,7410.95067121
2017-12-14,5279.78674897
2017-12-15,6466.82213818
2017-12-16,6865.55603339
2017-12-17,6792.22566183
2017-12-18,5293.53619392
2017-12-19,7603.44289648
2017-12-20,6259.46871512
2017-12-21,5672.21314480
2017-12-22,6842.95793786
2017-12-23,6343.80318107
2017-12-24,7006.31767647
2017-12-25,6076.07472069
2017-12-26,6543.46508391
2017-12-27,6003.47039250
2017-12-28,6647.83380580
2017-12-29,6924.63780726
2017-12-30,6262.12331189
2017-12-31,6275.73662339
2018-01-01,6271.19885287
2018-01-02,6856.57124950
2018-01-03,6942.78888934
2018-01-04,6230.35891832
2018-01-05,6520.77623131
2018-01-06,6221.28337724
2018-01-07,6829.34462634
2018-01-08,6157.75459000
2018-01-09,5985.31931042
2018-01-10,7534.51865861
2018-01-11,5818.23052205
2018-01-12,5791.27346943
2018-01-13,7521.01767864
2018-01-14,6155.19367967
2018-01-15,6936.94820531
2018-01-16,5202.71115400
