day,sum_total_reward,sum_reward
2016-12-26,6932.59126251,4275058.86956132
2016-12-27,7378.64170799,4282437.51126931
2016-12-28,8034.28212208,4290471.79339139
2016-12-29,7351.77119925,4297823.56459064
2016-12-30,7996.66340976,4305820.22800040
2016-12-31,7598.97988006,4313419.20788046
2017-01-01,7572.10937123,4320991.31725169
2017-01-02,7502.24604850,4328493.56330019
2017-01-03,7555.98706601,4336049.55036620
2017-01-04,8045.03032563,4344094.58069183
2017-01-05,7615.10218534,4351709.68287717
2017-01-06,7598.97987997,4359308.66275714
2017-01-07,6959.46177116,4366268.12452830
2017-01-08,7733.33242388,4374001.45695218
2017-01-09,7212.04455376,4381213.50150594
2017-01-10,8120.26775012,4389333.76925606
2017-01-11,8023.53391853,4397357.30317459
2017-01-12,6416.67749412,4403773.98066871
2017-01-13,7598.97988000,4411372.96054871
2017-01-14,8532.76997348,4419905.73052219
2017-01-15,7683.36924917,4427589.09977136
2017-01-16,6539.37729045,4434128.47706181
2017-01-17,8018.58549766,4442147.06255947
2017-01-18,7773.82442741,4449920.88698688
2017-01-19,7119.35460906,4457040.24159594
2017-01-20,7646.12299945,4464686.36459539
2017-01-21,7715.29460627,4472401.65920166
2017-01-22,7656.76478508,4480058.42398674
2017-01-23,6597.90711160,4486656.33109834
2017-01-24,8343.15996039,4494999.49105873
2017-01-25,7294.94407246,4502294.43513119
2017-01-26,7465.21264311,4509759.64777430
2017-01-27,7789.78710581,4517549.43488011
2017-01-28,7374.75746493,4524924.19234504
2017-01-29,8204.81674667,4533129.00909171
2017-01-30,7513.10067866,4540642.10977037
2017-01-31,7678.04835642,4548320.15812679
2017-02-01,7555.66782123,4555875.82594802
2017-02-02,7683.36924923,4563559.19519725
2017-02-03,8407.01067440,4571966.20587165
2017-02-04,8554.70495442,4580520.91082607
2017-02-05,6680.09119028,4587201.00201635
2017-02-06,6132.19727563,4593333.19929198
2017-02-07,7886.51144476,4601219.71073674
2017-02-08,8523.96494160,4609743.67567834
2017-02-09,6817.06466883,4616560.74034717
2017-02-10,7807.48828390,4624368.22863107
2017-02-11,7659.97838386,4632028.20701493
2017-02-12,7849.63396973,4639877.84098466
2017-02-13,7786.41544108,4647664.25642574
2017-02-14,6748.57792960,4654412.83435534
2017-02-15,7243.78973710,4661656.62409244
2017-02-16,8218.40871997,4669875.03281241
2017-02-17,7596.75985515,4677471.79266756
2017-02-18,7528.27311595,4685000.06578351
2017-02-19,6890.81961901,4691890.88540252
2017-02-20,7823.29291601,4699714.17831853
2017-02-21,8466.01462364,4708180.19294217
2017-02-22,6105.85622204,4714286.04916421
2017-02-23,7364.95858359,4721651.00774780
2017-02-24,8529.23315205,4730180.24089985
2017-02-25,6475.38729945,4736655.62819930
2017-02-26,7589.35306383,4744244.98126313
2017-02-27,7949.26052863,4752194.24179176
2017-02-28,6139.29110390,4758333.53289566
2017-03-01,7547.62466239,4765881.15755805
2017-03-02,7401.57525636,4773282.73281441
2017-03-03,7151.20484601,4780433.93766042
2017-03-04,8397.84084755,4788831.77850797
2017-03-05,7558.05676292,4796389.83527089
2017-03-06,6191.45160546,4802581.28687635
2017-03-07,7537.19256194,4810118.47943829
2017-03-08,8403.05689777,4818521.53633606
2017-03-09,6342.71706250,4824864.25339856
2017-03-10,7865.80372567,4832730.05712423
2017-03-11,7698.89011871,4840428.94724294
2017-03-12,8006.63708127,4848435.58432421
2017-03-13,6900.83443574,4855336.41875995
