day,sum_fees,difficulty,count_tx
2018-07-17,3.44843029,3434422091.408599,4786
2018-07-18,2.6570994900000002,3654407869.8763294,4199
2018-07-19,2.6187913800000002,3463414836.011619,4085
2018-07-20,2.7865119799999998,3659183094.7518964,4407
2018-07-21,2.20593778,3717331067.3313794,3729
2018-07-22,2.1028821300000002,3440403860.0987744,3577
2018-07-23,3.10608964,3549421678.324025,4131
2018-07-24,3.7892221299999997,3993794023.083273,4869
2018-07-25,3.0124480899999995,3739361455.150435,4484
2018-07-26,2.79152868,3464108469.065385,4432
2018-07-27,2.71499464,3689840875.063518,4155
2018-07-28,2.7785522000000005,3959963326.4372997,4105
2018-07-29,2.33590289,3871225410.3835526,3899
2018-07-30,2.47041731,3596035305.296194,3967
2018-07-31,2.54012738,3436944115.7669487,4411
2018-08-01,2.93487815,3708123595.060741,4077
2018-08-02,2.83676509,3799098548.1851673,4447
2018-08-03,4.329379370000001,4013433064.008972,4776
2018-08-04,2.43687875,4282258988.7319055,4146
2018-08-05,2.34285063,4440216135.743932,3600
2018-08-06,2.3390383000000003,4322372429.860497,3673
2018-08-07,2.6421373,4058218257.167343,4034
2018-08-08,2.3018898400000003,4246047633.9552655,3643
2018-08-09,2.51370477,4103961124.837206,3931
2018-08-10,2.38976218,4460183615.91299,3961
2018-08-11,2.4252328199999997,4597926678.638833,3726
2018-08-12,2.67848525,4191133956.407016,4276
2018-08-13,2.52663059,3957205244.8853073,4174
2018-08-14,2.6582380000000003,4098995967.426995,4025
2018-08-15,2.56614831,4353615932.794773,4160
2018-08-16,2.37380921,4159779584.210476,3675
2018-08-17,2.76267744,4038529407.6898804,4551
2018-08-18,2.31219458,4582049773.877334,4042
2018-08-19,2.0915244900000003,4856650407.352799,3711
2018-08-20,2.5511500700000003,4871283222.402183,4278
2018-08-21,2.52411253,4890240576.068431,3972
2018-08-22,2.3732156599999996,4648819332.945433,4083
2018-08-23,3.3628487,4887760012.437957,4305
2018-08-24,2.34423637,5401779265.70706,3811
2018-08-25,2.1718726200000003,5234888414.595682,3706
2018-08-26,2.26715729,5001812225.9359,4117
2018-08-27,2.3442466399999997,5088793874.982691,4202
2018-08-28,2.40276299,5251234755.997524,3969
2018-08-29,3.2605072,5378842345.441233,4497
2018-08-30,6.523590019999999,5436326168.087119,4653
2018-08-31,2.41030479,5639776699.473499,4031
2018-09-01,3.02051117,5629846066.988332,3887
2018-09-02,2.3537009799999997,5233789936.742267,3844
2018-09-03,2.42177905,5160679299.756486,4204
2018-09-04,2.72431506,5297760544.070999,4163
2018-09-05,2.63740738,5567989112.655705,3716
2018-09-06,2.40176369,5266711693.241399,3857
2018-09-07,2.11845719,5333802030.523288,3581
2018-09-08,2.0509489199999997,5478175043.644351,3777
2018-09-09,2.42791494,5619294208.650072,4045
2018-09-10,2.82237811,5432173828.41967,4341
2018-09-11,2.5859094199999997,5382408569.868762,4300
2018-09-12,2.36032988,5598371527.583564,3688
2018-09-13,2.73145644,5469864105.621848,4333
2018-09-14,3.48261987,5938335669.074948,3963
2018-09-15,2.13218554,5768391709.455433,3465
2018-09-16,1.8540563200000002,5589657199.006087,3653
2018-09-17,2.63675075,5715316143.943858,4492
2018-09-18,2.3529648,5864069452.810142,3539
2018-09-19,2.3391122699999998,5474323249.525359,3882
2018-09-20,2.22938493,5254472925.0059805,4029
2018-09-21,2.57150632,5349431636.711499,3617
2018-09-22,2.39858655,5109829109.524536,4400
2018-09-23,2.182583,5188696583.691798,3771
2018-09-24,2.4597256,5443493371.847713,4025
2018-09-25,2.04167544,5499364630.486481,3702
2018-09-26,3.9036187699999996,5827201932.003162,4325
2018-09-27,2.27718751,6199443621.670101,3806
2018-09-28,2.84874627,6098095112.364342,4287
2018-09-29,2.11491287,6809666209.168559,3513
2018-09-30,2.09441034,6637276257.875813,3467
2018-10-01,2.65844919,5642336844.747775,4367
2018-10-02,2.40198027,5707635454.5772295,4021
2018-10-03,3.42168762,6470902109.041901,4501
2018-10-04,2.7420602599999997,6969006354.359043,4066
2018-10-05,2.3273592599999997,6834238767.197864,3809
2018-10-06,2.19530717,7136929937.534972,3802
2018-10-07,2.0871808,7573456304.027107,3383
2018-10-08,3.39614795,7211526774.096588,4190
2018-10-09,2.3439199200000003,7184999738.182126,3954
2018-10-10,2.4024991599999996,7429232336.625542,4236
2018-10-11,2.17651948,7780491876.430802,4019
2018-10-12,2.1749664400000004,7980776490.720437,4087
2018-10-13,2.2613865900000003,8408671707.6080885,3919
2018-10-14,2.4160977700000004,8706185297.837652,4203
2018-10-15,2.18701372,9146021290.610018,3921
2018-10-16,2.3339849900000003,9212560353.704933,3861
2018-10-17,2.4942630900000005,8901562582.080881,4283
2018-10-18,3.4468624699999997,9699641037.962877,4140
2018-10-19,2.0985652200000002,10469546742.055027,3666
2018-10-20,2.3307216100000003,9731500909.60405,3985
2018-10-21,2.44317029,9487594090.334486,4012
2018-10-22,2.33153419,9795526625.825142,3941
2018-10-23,5.1870544800000005,9559759486.45717,5514
2018-10-24,4.18232715,9562006577.678322,5517
2018-10-25,2.84712309,10196508127.537077,4689
2018-10-26,2.57707377,10663469674.280142,4010
2018-10-27,2.06808219,10657311583.565332,3719
2018-10-28,2.4680062,10457270115.045227,4039
2018-10-29,2.39896961,10739579513.006617,4141
2018-10-30,2.6303804,10963024838.980705,4380
2018-10-31,2.2735158,11243766945.939022,4043
2018-11-01,3.3321971099999996,11378531471.60259,3891
2018-11-02,2.66657273,10746636245.819872,4303
2018-11-03,2.61743271,10869337725.583313,4132
2018-11-04,2.1008781,11676338578.468403,3568
2018-11-05,2.5558517800000002,11132282214.276579,4281
2018-11-06,2.34957626,10179465609.695864,4079
2018-11-07,2.9598979999999995,10449397578.91298,5739
2018-11-08,2.1723017999999996,12682625221.473282,3935
2018-11-09,2.04114125,12931020837.398048,3485
2018-11-10,2.0560782,11162533764.440527,3507
2018-11-11,2.24656162,9537320702.80664,4127
2018-11-12,2.13430039,10730444426.114695,3558
2018-11-13,3.59268154,11201352588.765833,4436
2018-11-14,2.38810923,11318044055.462004,4030
2018-11-15,2.12519357,11322850868.25648,3847
2018-11-16,2.48009924,12208524699.75952,4689
2018-11-17,1.82742348,13405069387.757797,3540
2018-11-18,2.39325701,12466867680.869308,4471
2018-11-19,2.32636088,12577062658.252775,4074
2018-11-20,2.68714188,11708387222.59349,4597
2018-11-21,2.28885177,11987484368.228104,4256
2018-11-22,1.99796855,11915188634.56408,3620
2018-11-23,2.0491158,11465800697.980087,3945
2018-11-24,1.71281106,11157358367.850527,3528
2018-11-25,2.25022578,10983182031.802145,4159
2018-11-26,2.1690598999999997,11690716383.382063,4140
2018-11-27,1.70112702,11633208951.74188,3254
2018-11-28,2.17034106,9964662084.814606,4064
