day,avg_price,avg_pool,avg_pool_dcr
2016-08-13,26.34335324,41314,1016577.96830814
2016-08-14,24.99875937,41686,1030788.38724374
2016-08-15,62.22232031,41454,1028088.37500000
2016-08-16,33.21261176,42125,1045323.40132450
2016-08-17,29.20625787,41581,1041095.23446328
2016-08-18,28.23725268,41446,1043415.93682881
2016-08-19,29.00398823,41393,1046784.42185339
2016-08-20,27.80413955,41431,1053602.67411444
2016-08-21,30.27589049,41621,1063500.30303030
2016-08-22,21.99575868,41493,1062929.86339896
2016-08-23,44.88014496,42536,1082805.02623907
2016-08-24,24.57218555,41837,1066358.45052796
2016-08-25,41.36935737,42409,1084575.49215686
2016-08-26,19.73948053,41868,1074642.78609191
2016-08-27,35.10383470,42390,1079253.12650046
2016-08-28,27.79121430,42018,1072473.90086831
2016-08-29,26.73540209,42190,1085158.27497575
2016-08-30,37.09379800,42205,1088477.67830424
2016-08-31,28.62355960,41988,1084953.79714841
2016-09-01,29.21790329,41606,1081266.89699571
2016-09-02,29.88676429,41518,1082358.05697279
2016-09-03,30.28761406,41423,1085235.01220339
2016-09-04,27.95151170,41329,1089148.74843554
2016-09-05,40.74547040,41928,1109598.82051282
2016-09-06,26.55451129,41733,1105017.54951456
2016-09-07,38.00170845,41919,1113763.76888080
2016-09-08,27.55018926,41327,1107382.12467724
2016-09-09,27.36689075,41306,1110424.87113402
2016-09-10,16.54070732,41939,1128415.41084927
2016-09-11,21.92959223,41912,1120140.27701375
2016-09-12,29.13289449,42663,1119533.66246851
2016-09-13,28.70281489,42197,1112086.28122192
2016-09-14,39.47469346,42377,1121287.12975391
2016-09-15,31.97625162,41977,1113494.48539909
2016-09-16,33.54773901,41735,1116209.36935167
2016-09-17,30.45983720,41648,1120419.74078212
2016-09-18,24.32910878,41709,1130260.65561044
2016-09-19,29.20280500,41506,1126893.40350877
2016-09-20,29.94515775,42183,1136916.10262418
2016-09-21,28.26829731,41761,1126881.79787234
2016-09-22,43.54370509,42698,1158377.91454965
2016-09-23,25.44833099,41878,1144352.08588317
2016-09-24,57.06173469,43200,1181269.48453608
2016-09-25,31.08624258,42207,1158527.40978311
2016-09-26,37.57747801,42093,1163040.49479941
2016-09-27,21.23502524,42031,1171334.17154309
2016-09-28,25.66419427,41812,1167252.07477820
2016-09-29,26.77312000,42422,1164982.51982216
2016-09-30,28.17645469,42127,1159587.39578947
2016-10-01,38.08855810,42817,1175099.37646334
2016-10-02,38.73767148,42416,1172298.81702899
2016-10-03,28.02939196,42343,1182085.82048647
2016-10-04,62.77390644,43365,1214885.32456140
2016-10-05,33.96796734,42460,1193247.38204833
2016-10-06,36.56541042,42236,1198465.24753868
2016-10-07,24.73796362,42017,1198165.79550102
2016-10-08,60.15085690,42490,1208823.58974359
2016-10-09,19.55891701,42413,1202652.35756114
2016-10-10,43.49658590,43167,1200199.83762376
2016-10-11,35.43945373,42503,1182408.44131679
2016-10-12,52.24476044,42990,1215609.31097561
2016-10-13,27.47422077,42299,1203120.26887598
2016-10-14,61.51395851,43430,1239526.55185185
2016-10-15,35.57269444,42683,1220111.15925627
2016-10-16,31.52198337,42273,1219911.35446313
2016-10-17,20.50224028,42169,1223941.31041415
2016-10-18,27.72496303,41977,1215968.85115607
2016-10-19,37.47356697,42555,1211790.11530398
2016-10-20,48.46553185,42248,1215256.16326531
2016-10-21,29.52872182,42207,1223664.99863714
2016-10-22,62.94760331,43246,1258421.48214286
2016-10-23,36.09350713,42530,1239282.21776316
2016-10-24,22.85618930,42151,1245741.48089983
2016-10-25,25.18633354,41836,1238058.00522876
2016-10-26,33.63275633,42443,1236370.86791148
2016-10-27,77.90964297,42498,1246280.10344828
2016-10-28,31.69934506,42515,1251236.38978162
2016-10-29,30.54289513,42122,1241078.28039702
2016-10-30,47.10053822,43027,1272008.94799054
2016-10-31,33.54817509,42249,1255668.20955671
2016-11-01,37.46103864,42553,1279469.06861199
2016-11-02,37.05503674,42132,1272933.81183932
2016-11-03,34.36044918,41954,1274208.92628399
2016-11-04,41.99756051,42093,1287676.31888545
2016-11-05,35.93795820,41551,1278180.24094088
2016-11-06,34.21364643,41511,1287885.05355355
2016-11-07,37.31044349,41506,1291743.82958580
2016-11-08,36.43282879,41828,1309928.10065646
2016-11-09,38.45029686,41444,1304088.47124601
2016-11-10,22.74850863,41580,1314907.81119836
2016-11-11,57.67375605,42242,1318524.54347826
2016-11-12,30.97165094,41910,1307291.19436250
2016-11-13,65.74298793,43070,1346052.27884615
2016-11-14,37.65018587,42113,1321871.02166745
2016-11-15,41.13537471,41850,1322668.20554855
2016-11-16,27.14425297,42012,1340780.43760984
2016-11-17,25.26185087,41706,1334639.13758599
2016-11-18,30.62864603,42378,1334936.93770339
2016-11-19,28.73446118,42026,1326918.75583658
2016-11-20,37.53401852,42577,1337905.01950867
2016-11-21,38.95715855,42152,1325791.52913753
2016-11-22,51.58053146,43137,1374914.69969040
2016-11-23,37.90430566,42272,1355049.80672870
2016-11-24,37.31886895,42107,1359861.33444816
2016-11-25,40.14352240,42122,1367098.25882353
2016-11-26,23.73512304,41746,1362381.24610697
2016-11-27,46.66371505,42923,1379426.68571429
2016-11-28,21.16353859,42119,1351120.96066863
2016-11-29,44.62000769,42853,1349345.05093834
2016-11-30,38.33234261,42457,1331725.42580645
2016-12-01,38.33737225,42388,1342724.61439732
2016-12-02,35.63055414,42071,1334363.92682927
2016-12-03,32.78967679,42883,1377225.31096849
2016-12-04,33.16794180,42526,1366088.25614367
2016-12-05,53.36661341,43181,1388489.18740630
2016-12-06,41.47620517,42343,1369066.99332889
2016-12-07,42.77798041,42195,1379555.87109688
2016-12-08,39.84194711,42090,1389229.17842566
2016-12-09,26.89827091,42141,1408157.47987616
2016-12-10,25.94868202,41813,1398071.49211528
2016-12-11,27.93534135,42399,1395585.15174603
2016-12-12,25.87983017,42047,1386424.17624021
2016-12-13,34.89827318,42741,1387634.49874477
2016-12-14,29.33623373,42280,1375174.74761666
2016-12-15,42.73497200,42960,1392063.22092223
2016-12-16,37.51855307,42515,1379049.08218126
2016-12-17,18.00565676,42769,1408237.77137871
2016-12-18,20.71289641,42323,1393415.48723724
2016-12-19,40.87937969,43155,1380180.23354565
2016-12-20,37.44713023,42716,1366993.52756410
2016-12-21,52.51025462,43331,1406152.83982684
2016-12-22,41.32836021,42702,1387956.30499562
2016-12-23,39.89485605,42457,1398832.55172414
2016-12-24,44.58760930,42782,1425965.99436620
2016-12-25,40.72753241,42560,1420211.31503268
2016-12-26,38.66829646,42837,1451183.17774086
2016-12-27,27.54247937,42253,1432855.83726415
2016-12-28,40.77379968,43000,1443821.67058824
2016-12-29,32.40811419,42487,1427943.42522757
2016-12-30,51.12471992,43237,1455217.33995037
2016-12-31,41.91801512,42708,1439136.51553931
2017-01-01,33.06453658,42730,1465001.70663812
2017-01-02,23.35961448,42326,1455595.17269076
2017-01-03,38.96780704,43073,1452347.35258724
2017-01-04,29.64056594,42591,1438062.83509068
2017-01-05,46.65366936,43278,1453540.41080039
2017-01-06,39.22680829,42818,1439309.23540670
2017-01-07,71.19918651,43692,1491699.36253776
2017-01-08,47.43009764,42988,1471079.14253898
2017-01-09,27.05314788,42519,1479585.92447130
2017-01-10,63.59173954,43341,1494391.39072848
2017-01-11,35.93626762,42786,1472299.93061493
2017-01-12,107.26878834,43017,1487107.62857143
2017-01-13,45.08062765,43135,1493154.96331058
2017-01-14,86.76160854,43358,1521937.35031847
2017-01-15,24.14223936,42566,1503904.21056172
2017-01-16,61.55465057,42198,1488962.47963801
2017-01-17,36.54515744,42929,1492458.66438356
2017-01-18,89.68104565,43738,1527131.52173913
2017-01-19,44.51134217,43142,1508015.74699352
2017-01-20,80.35578436,43228,1530692.52606635
2017-01-21,26.48894406,42594,1519850.10696435
2017-01-22,60.50114119,43407,1531208.64893617
2017-01-23,38.06355666,42866,1507603.55428571
2017-01-24,46.08650977,42625,1502385.96521739
2017-01-25,32.91901373,43128,1529541.12413074
2017-01-26,85.50022198,43572,1541389.94444444
2017-01-27,26.09008353,43109,1522778.13020833
2017-01-28,67.15530556,44070,1531890.86206897
2017-01-29,58.62105638,43753,1519463.04084507
2017-01-30,31.01159695,43127,1534329.62237762
2017-01-31,67.90361483,44028,1554112.28125000
2017-02-01,32.00591062,43106,1521890.84356035
2017-02-02,79.98223494,43909,1542931.61904762
2017-02-03,28.31350210,43205,1517048.77123955
2017-02-04,65.25736258,43992,1527810.74117647
2017-02-05,32.55184102,43237,1501637.14052174
2017-02-06,79.02117079,44457,1543282.00000000
2017-02-07,38.15122361,43389,1505878.80200334
2017-02-08,98.20865180,42874,1492716.93478261
2017-02-09,34.93887614,43502,1522224.93501048
2017-02-10,83.13261996,44506,1557003.00000000
2017-02-11,29.58985540,43457,1520455.67192862
2017-02-12,74.79252352,44032,1526986.82786885
2017-02-13,34.68068399,43514,1508127.21416175
2017-02-14,87.00150676,44461,1543699.44252874
2017-02-15,51.89092416,43605,1513771.35427221
2017-02-16,142.22418837,44673,1609115.66666667
2017-02-17,59.65226733,43920,1582083.76040021
2017-02-18,57.11251789,43728,1621324.84627093
2017-02-19,61.01329034,43352,1622402.86177474
2017-02-20,61.88118135,42932,1625245.28380282
2017-02-21,58.23458225,42571,1642958.23376623
2017-02-22,56.10591197,42311,1654196.32401656
2017-02-23,56.44109239,42108,1665458.74216251
2017-02-24,56.74233841,42102,1694303.36903039
2017-02-25,49.69354525,41793,1702944.90868167
2017-02-26,48.27210267,41711,1707804.74069899
2017-02-27,54.73548283,42082,1740893.93198529
2017-02-28,57.34721691,41701,1741586.27376033
2017-03-01,50.89360559,41424,1746492.04970286
2017-03-02,52.92393035,41442,1763724.19866920
2017-03-03,57.03906350,41442,1775540.95365322
2017-03-04,56.33914308,41520,1793573.10264901
2017-03-05,47.91431526,41653,1824031.69512195
2017-03-06,58.85962518,42051,1854085.43267974
2017-03-07,56.88533918,41692,1843313.61347518
2017-03-08,62.38265775,41727,1867146.95363812
2017-03-09,56.18897373,41430,1875016.92697466
2017-03-10,55.00041957,41366,1889898.83048530
2017-03-11,52.63123620,41171,1894251.25691906
2017-03-12,55.11292602,41385,1916532.03733122
2017-03-13,56.18650811,41188,1916255.96038804
2017-03-14,54.97134565,41060,1922535.22073579
2017-03-15,51.76897274,40928,1926343.43131188
2017-03-16,55.71463356,41129,1947155.31749850
2017-03-17,54.75361630,41051,1951953.17193240
2017-03-18,56.47637656,41324,1977046.70290965
2017-03-19,57.49127172,41052,1971943.67181751
2017-03-20,46.28276939,41244,1995681.64195867
2017-03-21,49.46496073,41647,2014673.48342328
2017-03-22,99.33280417,41197,1997030.21276596
2017-03-23,58.39112281,42114,2043567.86714286
2017-03-24,52.44758507,41667,2030266.99312533
2017-03-25,53.66321526,41853,2051535.66485998
2017-03-26,45.06798962,42006,2069362.83759591
2017-03-27,43.22906686,41677,2053845.09957806
2017-03-28,57.08537816,42411,2076504.69000000
2017-03-29,39.25657111,41758,2051221.40959556
2017-03-30,42.51965801,41788,2052956.68765133
2017-03-31,31.96476966,42048,2040404.51561975
2017-04-01,61.78315015,42917,2042100.04488330
2017-04-02,58.82362607,42393,2015404.31188925
2017-04-03,49.38402915,42115,2014820.84037162
2017-04-04,40.12460008,42068,2021173.06955381
2017-04-05,59.49724155,42690,2030555.36974038
2017-04-06,49.98639606,42195,2007322.55247059
2017-04-07,37.18657221,42911,2059530.47185430
2017-04-08,37.70338907,42541,2042253.30078125
2017-04-09,36.17302041,42829,2027792.02371134
2017-04-10,36.45334427,42449,2011363.74159292
2017-04-11,41.17392871,43124,2008855.27542373
2017-04-12,36.16688088,42695,1989306.01861575
2017-04-13,33.55210505,43141,1983988.77386197
2017-04-14,39.37542019,42699,1964420.61409214
2017-04-15,50.16805744,43466,1970134.73293323
2017-04-16,46.22592904,43063,1952178.85261876
2017-04-17,39.31720422,43487,1978762.58620690
2017-04-18,44.15898246,43083,1960691.62827822
2017-04-19,46.68601122,43586,1973747.31903114
2017-04-20,49.00748510,43203,1957845.50903226
2017-04-21,48.95554131,43564,1981620.34267913
2017-04-22,47.93098935,43198,1966354.65007541
2017-04-23,117.26635154,44238,2021387.08888889
2017-04-24,45.49009447,43459,1986123.72527855
2017-04-25,41.37946312,43644,1997608.17647059
2017-04-26,43.45116369,43258,1979740.56987690
2017-04-27,54.84571462,43978,2002690.68387097
2017-04-28,40.59086978,43513,1981754.89209949
2017-04-29,36.94785501,43773,1980883.57933972
2017-04-30,37.22831568,43389,1963902.72150000
2017-05-01,44.53744725,43866,1961626.64617169
2017-05-02,39.98338226,43452,1943828.09229305
2017-05-03,61.79407087,43877,1953442.72085646
2017-05-04,54.53252437,43481,1936163.69613878
2017-05-05,53.47214538,44019,1999033.74967405
2017-05-06,53.13042667,43655,1983001.14306016
2017-05-07,48.23484695,43924,2015874.17283019
2017-05-08,49.14189452,43559,1999319.02368758
2017-05-09,46.77540090,43988,2028001.22293814
2017-05-10,45.55754539,43614,2011248.08388626
2017-05-11,43.82092996,43932,2025183.99717248
2017-05-12,42.97109653,43561,2008347.87568157
2017-05-13,40.23658149,43886,2015315.50442478
2017-05-14,41.82003405,43510,1998230.24650572
2017-05-15,66.79474813,44059,2009577.63312203
2017-05-16,59.05803124,43596,1989459.52902519
2017-05-17,62.23585884,44166,2064218.61243144
2017-05-18,62.19866225,43683,2047223.12360387
2017-05-19,63.18488074,43531,2054233.07489451
2017-05-20,37.00680664,43097,2057107.99660095
2017-05-21,93.89168125,43333,2053629.38297872
2017-05-22,43.20490647,43211,2034887.34471218
2017-05-23,107.65120675,43687,2052720.44444444
2017-05-24,40.00328071,43312,2031078.50586207
2017-05-25,102.40722942,43515,2032778.26666667
2017-05-26,43.31370545,43353,2016019.46065518
2017-05-27,101.57119664,44300,2052407.78260870
2017-05-28,40.79024961,43409,2009766.50567986
2017-05-29,97.76265293,44330,2038321.48780488
2017-05-30,54.50719972,43472,1998303.15763219
2017-06-01,49.51942891,43603,2033041.19281729
2017-06-02,121.75246892,44480,2081862.88235294
2017-06-03,47.65880465,43572,2040745.85375086
2017-06-04,130.11933791,43271,2029375.60000000
2017-06-05,45.37799231,43615,2047901.27477477
2017-06-06,114.25339841,44461,2082754.46376812
2017-06-07,47.85333590,43624,2045237.05114823
2017-06-08,125.35097359,44614,2097004.07142857
2017-06-09,50.53478874,43657,2053302.23240418
2017-06-10,157.29115945,44054,2082048.37500000
2017-06-11,48.37243661,43689,2069471.22839943
2017-06-12,117.73281890,44308,2101668.13636364
2017-06-13,42.45167001,43611,2070545.80495575
2017-06-14,103.01223684,44253,2090928.55172414
2017-06-15,38.08343518,43548,2055526.08073458
